,type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
62,Dtree,"criteria: entropy, depth: 30, min_leaf: 500, seed: 12345",0.7430825242718446,50,0.7413834951456311,0.4988567695574065,0.4977751018311359,1,2012-01-01,2012-07-01
63,Dtree,"criteria: gini, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,1,0.9454545454545454,0.012738853503184714,0.5053066019995848,1,2012-01-01,2012-07-01
64,Dtree,"criteria: gini, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,2,0.8376327769347496,0.02253797158255757,0.5049510830987893,1,2012-01-01,2012-07-01
65,Dtree,"criteria: gini, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,5,0.7700242718446602,0.05181283684468398,0.5035280528106273,1,2012-01-01,2012-07-01
66,Dtree,"criteria: gini, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,10,0.7548543689320388,0.10158419075616527,0.5030830731768544,1,2012-01-01,2012-07-01
67,Dtree,"criteria: gini, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,20,0.7489381067961165,0.20157602482443246,0.5030671810470769,1,2012-01-01,2012-07-01
68,Dtree,"criteria: gini, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,30,0.7455501618122977,0.30099624367140293,0.5019388398328672,1,2012-01-01,2012-07-01
69,Dtree,"criteria: gini, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,50,0.7415655339805826,0.49897925853339864,0.4980134837777999,1,2012-01-01,2012-07-01
70,Dtree,"criteria: gini, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,1,0.9,0.01212640862322391,0.5041146922662648,1,2012-01-01,2012-07-01
71,Dtree,"criteria: gini, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,2,0.8103186646433991,0.021803037726604607,0.5035207914188053,1,2012-01-01,2012-07-01
72,Dtree,"criteria: gini, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,5,0.7597087378640777,0.05111873264739507,0.5021772217795312,1,2012-01-01,2012-07-01
