type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,5,0.264563107,0.051487955,0.501001204,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,10,0.261832524,0.101913085,0.501287263,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,20,0.25940534,0.201936703,0.501303155,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,30,0.259000809,0.302432688,0.501636889,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,50,0.260376214,0.506731223,0.504529257,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,1,0.272727273,0.010628248,0.500414565,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,2,0.273141123,0.021256495,0.500849544,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,5,0.273058252,0.053141238,0.502113653,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,10,0.265776699,0.103448276,0.502320251,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,20,0.260618932,0.202881436,0.50193884,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,30,0.259708738,0.303259329,0.502193114,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,50,0.26098301,0.50791214,0.505323863,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,1,0.354545455,0.013816722,0.502560002,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,2,0.314112291,0.024444969,0.502994982,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,5,0.288834951,0.05621162,0.50417963,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,10,0.274271845,0.106754842,0.504545149,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,20,0.263197816,0.204888994,0.503289671,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,30,0.261832524,0.305739254,0.503861788,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'entropy'}",0.256917476,50,0.261407767,0.508738781,0.505880088,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,1,0.366666667,0.014289088,0.502877845,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,2,0.31107739,0.024208786,0.50283606,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,5,0.287621359,0.055975437,0.504020709,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,10,0.273968447,0.10663675,0.504465688,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,20,0.263956311,0.205479452,0.503686974,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,30,0.261630259,0.30550307,0.503702866,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,50,0.261104369,0.508148323,0.505482785,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,1,0.43030303,0.016769013,0.504546518,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,2,0.347496206,0.027042985,0.504743116,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,5,0.299150485,0.058219178,0.505530461,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,10,0.279126214,0.108644308,0.505816519,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,20,0.266231796,0.207250827,0.504878884,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,30,0.263450647,0.30762872,0.505133158,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,50,0.261832524,0.509565423,0.506436313,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,1,0.424242424,0.016532829,0.504387597,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,2,0.345978756,0.026924894,0.504663655,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,5,0.299150485,0.058219178,0.505530461,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,10,0.278216019,0.108290033,0.505578138,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,20,0.265928398,0.207014643,0.504719963,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,30,0.263147249,0.307274445,0.504894776,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'gini'}",0.256917476,50,0.261529126,0.508974965,0.506039009,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,1,0.206060606,0.008030231,0.49866643,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,2,0.241274659,0.018776571,0.499180871,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,5,0.25788835,0.050188947,0.500127137,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,10,0.260012136,0.101204535,0.500810499,1,1/1/12,7/1/12
