,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
52,"Block Group 2, Census Tract 206.01, Cook County, Illinois",29.0,911,200,0,161,17,134,19,44,40,0,107,118,11,43,3156,1918,351,875,17,031,020601,2
53,"Block Group 1, Census Tract 206.01, Cook County, Illinois",50.9,694,65,11,0,0,0,66,106,0,84,0,58,12,253,1755,1231,34,228,17,031,020601,1
54,"Block Group 3, Census Tract 206.01, Cook County, Illinois",34.5,382,0,17,0,37,0,117,15,57,0,0,32,32,91,832,312,240,210,17,031,020601,3
55,"Block Group 4, Census Tract 206.02, Cook County, Illinois",45.6,340,40,0,24,0,21,0,0,8,32,26,52,34,164,672,475,39,72,17,031,020602,4
56,"Block Group 3, Census Tract 206.02, Cook County, Illinois",27.9,403,51,6,72,14,35,20,7,25,0,44,21,18,392,1285,400,267,510,17,031,020602,3
57,"Block Group 2, Census Tract 206.02, Cook County, Illinois",43.5,228,1,31,0,41,10,15,0,31,15,0,19,23,105,666,249,12,396,17,031,020602,2
58,"Block Group 1, Census Tract 206.02, Cook County, Illinois",29.4,417,39,0,11,19,0,26,32,45,21,92,40,30,279,1074,762,139,173,17,031,020602,1
59,"Block Group 2, Census Tract 207.01, Cook County, Illinois",40.3,283,5,6,5,11,30,17,0,0,11,15,23,25,148,763,540,52,125,17,031,020701,2
60,"Block Group 1, Census Tract 207.01, Cook County, Illinois",40.6,332,12,6,10,12,4,7,27,47,23,8,20,46,71,747,581,12,150,17,031,020701,1
61,"Block Group 4, Census Tract 207.02, Cook County, Illinois",29.2,209,0,0,20,13,75,30,0,0,0,0,24,0,20,580,387,0,193,17,031,020702,4
62,"Block Group 1, Census Tract 207.02, Cook County, Illinois",33.6,779,50,13,36,121,26,55,12,58,0,79,72,158,387,2239,1695,14,493,17,031,020702,1
63,"Block Group 3, Census Tract 207.02, Cook County, Illinois",32.6,543,41,36,27,27,0,24,73,57,0,137,27,74,798,1245,784,169,292,17,031,020702,3
64,"Block Group 2, Census Tract 207.02, Cook County, Illinois",31.4,790,44,0,81,117,0,13,33,79,14,46,144,108,528,2046,841,541,534,17,031,020702,2
65,"Block Group 2, Census Tract 208.01, Cook County, Illinois",36.4,281,13,0,0,17,18,0,11,11,0,22,23,73,69,600,546,0,32,17,031,020801,2
66,"Block Group 3, Census Tract 208.01, Cook County, Illinois",36.5,496,39,13,73,30,0,37,22,60,0,52,48,23,511,796,444,18,334,17,031,020801,3
67,"Block Group 1, Census Tract 208.01, Cook County, Illinois",32.5,602,0,0,63,0,5,37,62,79,35,34,40,66,544,1119,629,68,402,17,031,020801,1
68,"Block Group 4, Census Tract 208.01, Cook County, Illinois",40.0,620,31,0,60,15,134,17,72,0,41,16,0,118,289,1283,657,24,442,17,031,020801,4
69,"Block Group 3, Census Tract 208.02, Cook County, Illinois",34.0,846,71,91,33,76,103,26,50,65,34,14,24,148,242,2990,951,253,1604,17,031,020802,3
